Day,T,pH,Ammonia,Nitrate,TN,OM,AR,cNH3,literature,C/N Ratio,exp_id,stage
17,39.42073171,8.092756184,1561.165049,1149.319066,2.340466926,32.85539216,0.187691087,0.237405162,,7.441176471,25,3
20,32.56097561,8.02959364,955.3398058,1472.762646,2.515564202,32.46732026,0.188775875,0.242351102,,6.663398693,25,3
0,38.44416562,7.218204489,1914.0625,768.8976378,2.637141112,66.45454545,0.048549581,0,"Zhao, Y., et al., Impacts of adding thermotolerant nitrifying bacteria on nitrogenous gas emissions and bacterial community structure during sewage sludge composting. Bioresource Technology, 2023. 368: p. 128359.",14.61685912,26,1
4,54.69259724,7.940149626,2179.6875,761.8110236,2.521686011,61.27272727,0.05604911,0.001203211,,14.09415167,26,2
8,58.58218319,9.028678304,2453.125,790.1574803,2.316432498,55.81818182,0.063943351,0.09685852,,13.9771548,26,2
13,48.85821832,8.635910224,2265.625,861.023622,2.076359194,52.72727273,0.068416754,0.252072795,,14.7297563,26,3
17,39.88707654,8.198254364,2156.25,921.2598425,1.938912645,51.63636364,0.069995602,0.282754686,,15.44756908,26,3
21,37.18946048,7.947630923,1750,1048.818898,2.167990226,49.27272727,0.07341644,0.300802858,,13.18293224,26,3
25,30.47678795,7.21446384,1421.875,1183.464567,2.307269395,47.36363636,0.076179424,0.312834972,,11.90719514,26,3
0,39.44792974,7.315461347,1929.6875,783.0708661,2.666463042,68.27272727,0.048549581,0,,14.85164028,27,1
4,59.1468005,7.891521197,2257.8125,775.984252,2.543677459,62.18181818,0.057869988,0.001203211,,14.17960437,27,2
8,59.83688833,8.729426434,3164.0625,864.5669291,2.415394013,53.81818182,0.070668158,0.068583052,,12.92420311,27,2
13,50.42659975,8.385286783,2546.875,967.3228346,2.153329261,47.18181818,0.080823228,0.162433543,,12.70945621,27,2
17,39.88707654,8.228179551,2054.6875,1094.88189,2.098350641,45.63636364,0.083188107,0.188904195,,12.61524556,27,3
21,36.75031368,7.869077307,1484.375,1279.133858,2.323762981,44,0.085692097,0.204545943,,10.98306582,27,3
25,30.03764115,7.420199501,1156.25,1474.015748,2.505192425,44,0.085692097,0.212366818,,10.18765725,27,3
0,38.55024712,7.113367174,1854.166667,38.47487002,2.193133201,59.34615385,0.2,0,"Li, Y.B., et al., Effects of chemical additives on emissions of ammonia and greenhouse gas during sewage sludge composting. Process Safety and Environmental Protection, 2020. 143: p. 129-137.",15.6960476,28,1
4,50.08237232,8.906937394,9458.333333,496.0138648,1.912101386,59.84615385,0.197540208,0.01924812,,18.15465778,28,2
6,52.04283361,8.983079526,7979.166667,449.220104,1.70117201,57.15384615,0.210785241,0.037894737,,19.48767245,28,2
8,46.73805601,8.72927242,5666.666667,466.897747,1.780618346,53.19230769,0.230274361,0.125353383,,17.32769229,28,3
14,38.20428336,8.297800338,4604.166667,496.0138648,2.019244244,52.73076923,0.232544939,0.37606015,,15.14739644,28,3
23,26.15321252,8.060913706,3812.5,424.2634315,2.421890629,52.42307692,0.234058657,0.55687218,,12.55540481,28,3
0,37.68533773,6.673434856,1895.833333,102.9462738,2.223687485,58.57692308,0.2,0,,15.27972514,29,1
4,51.5815486,8.492385787,10479.16667,429.4627383,2.04741056,58.38461538,0.200928505,0.01912782,,16.54078906,29,2
